"ASX code","Company name","GICs industry group","Listing date","Market Cap"
"AHQ","ALLEGIANCE COAL LIMITED","Materials","29/05/2012","SUSPENDED"
"AHX","APIAM ANIMAL HEALTH LIMITED","Health Care Equipment & Services","15/12/2015",89102696
"AIA","AUCKLAND INTERNATIONAL AIRPORT LIMITED","Transportation","22/02/1999",11426996823
"AIB","AURORA GLOBAL INCOME TRUST","Not Applic","24/12/2007","SUSPENDED"
"AII","ALMONTY INDUSTRIES INC.","Materials","02/08/2021",140506313
"AIM","AI-MEDIA TECHNOLOGIES LIMITED","Commercial & Professional Services","15/09/2020",57268511
"AIQ","ALTERNATIVE INVESTMENT TRUST","Not Applic","08/05/2005",43060211
"AIS","AERIS RESOURCES LIMITED","Materials","02/02/2011",262559326
"AIV","ACTIVEX LIMITED","Materials","11/04/2006",4310052
"AIZ","AIR NEW ZEALAND LIMITED","Transportation","01/10/1997",2425294308
"AJJ","ASIAN AMERICAN MEDICAL GROUP LIMITED","Health Care Equipment & Services","19/03/2007","SUSPENDED"
"AJL","AJ LUCAS GROUP LIMITED","Capital Goods","10/08/1999",17884485
"AJQ","ARMOUR ENERGY LIMITED","Energy","26/04/2012",9842684
"AJX","ALEXIUM INTERNATIONAL GROUP LIMITED","Materials","22/12/1999",11725016
"AJY","ASAPLUS RESOURCES LIMITED","Materials","16/11/2012",1360000
"AKE","ALLKEM LIMITED","Materials","04/12/2007",9501105481
"AKG","ACADEMIES AUSTRALASIA GROUP LIMITED","Consumer Services","01/06/1977",52382714
"AKM","ASPIRE MINING LIMITED","Materials","06/02/2007",46702603
"AKN","AUKING MINING LIMITED","Materials","29/10/2007",11838015
"AKO","AKORA RESOURCES LIMITED","Materials","15/12/2020",18996563
"AKP","AUDIO PIXELS HOLDINGS LIMITED","Consumer Durables & Apparel","24/12/2004",325984716
"AL3","AML3D LIMITED","Capital Goods","20/04/2020",15310991
"AL8","ALDERAN RESOURCES LIMITED","Materials","09/06/2017",5550252
"ALA","AROVELLA THERAPEUTICS LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","24/01/2002",43159186
"ALB","ALBION RESOURCES LIMITED","Materials","30/04/2021",4438133
"ALC","ALCIDION GROUP LIMITED","Health Care Equipment & Services","24/06/2011",158508632
"ALD","AMPOL LIMITED","Energy","31/12/1980",7887799477
"ALG","ARDENT LEISURE GROUP LIMITED","Consumer Services","30/11/2018",247048598
"ALI","ARGO GLOBAL LISTED INFRASTRUCTURE LIMITED","Not Applic","03/07/2015",387803130
"ALK","ALKANE RESOURCES LIMITED","Materials","07/10/1980",427117561
"ALL","ARISTOCRAT LEISURE LIMITED","Consumer Services","09/07/1996",25987537886
"ALM","ALMA METALS LIMITED","Energy","18/04/2007",13368009
"ALO","ALLOGGIO GROUP LIMITED","Consumer Services","29/11/2021",46167905
"ALQ","ALS LIMITED","Commercial & Professional Services","18/07/1952",5843903946
"ALT","ANALYTICA LIMITED","Health Care Equipment & Services","25/10/2000","SUSPENDED"
"ALU","ALTIUM LIMITED","Software & Services","04/08/1999",5080261550
"ALV","ALVO MINERALS LIMITED","Materials","20/10/2021",23870135
"ALX","ATLAS ARTERIA","Transportation","25/01/2010",9009677320
"ALY","ALCHEMY RESOURCES LIMITED","Materials","26/11/2007",17671144
"AM7","ARCADIA MINERALS LIMITED","Materials","25/06/2021",10345511
"AMA","AMA GROUP LIMITED","Commercial & Professional Services","31/08/2006",155595181
"AMC","AMCOR PLC","Materials","28/08/1969",22161956211
"AMD","ARROW MINERALS LTD","Materials","28/10/2005",12095060
"AME","ALTO METALS LIMITED","Materials","20/12/2012",37138405
"AMH","AMCIL LIMITED","Not Applic","10/02/2000",319684393
"AMI","AURELIA METALS LIMITED","Materials","08/05/2007",153315465
"AML","AEON METALS LIMITED.","Materials","14/06/2007",18878511
"AMM","ARMADA METALS LIMITED","Materials","15/12/2021",3432000
"AMN","AGRIMIN LIMITED","Materials","09/10/2007",80738696
"AMO","AMBERTECH LIMITED","Technology Hardware & Equipment","10/12/2004",22844981
"AMP","AMP LIMITED","Financial Services","15/06/1998",3190404526
"AMS","ATOMOS LIMITED","Consumer Durables & Apparel","28/12/2018","SUSPENDED"
"AMT","ALLEGRA ORTHOPAEDICS LIMITED","Health Care Equipment & Services","05/12/2007",6058634
"AMX","AEROMETREX LIMITED","Commercial & Professional Services","10/12/2019",32713507
"AN1","ANAGENICS LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","09/12/2005",6581159
"AND","ANSARADA GROUP LIMITED","Software & Services","14/02/2020",128643218
"ANG","AUSTIN ENGINEERING LIMITED","Capital Goods","09/03/2004",163335084
"ANL","AMANI GOLD LIMITED","Materials","14/12/2006",25143441
"ANN","ANSELL LIMITED","Health Care Equipment & Services","22/08/1985",3088020272
"ANO","ADVANCE ZINCTEK LIMITED","Materials","24/02/2005",98329957
"ANP","ANTISENSE THERAPEUTICS LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","20/12/2001",45578621
"ANR","ANATARA LIFESCIENCES LTD","Pharmaceuticals, Biotechnology & Life Sciences","16/10/2014",4197339
"ANX","ANAX METALS LIMITED","Materials","15/06/2004","SUSPENDED"
"ANZ","ANZ GROUP HOLDINGS LIMITED","Banks","30/09/1969",77776824610
"AO1","ASSETOWL LIMITED","Software & Services","30/05/2011",1947130
"AOA","AUSMON RESOURCES LIMITED","Materials","31/03/2009",4134357
"AOF","AUSTRALIAN UNITY OFFICE FUND","Equity Real Estate Investment Trusts (REITs)","20/06/2016",215342302
"AON","APOLLO MINERALS LIMITED","Materials","31/10/2007",16850653
